table,column,type,description,owner,pii_flag,sla
customers,id,integer,Primary key auto-increment,team-platform,false,N/A
customers,name,varchar,Full customer name,team-platform,true,N/A
customers,email,varchar,Customer email address,team-platform,true,N/A
customers,plan,varchar,Subscription tier (free/pro/enterprise),team-billing,false,N/A
customers,company,varchar,Company name,team-platform,false,N/A
orders,id,integer,Primary key auto-increment,team-billing,false,N/A
orders,customer_id,integer,FK to customers table,team-billing,false,N/A
orders,amount,decimal,Order total in BRL,team-billing,false,N/A
orders,status,varchar,Order lifecycle status,team-billing,false,N/A
products,id,integer,Primary key auto-increment,team-platform,false,N/A
products,name,varchar,Product display name,team-platform,false,N/A
products,category,varchar,Product category,team-platform,false,N/A
products,price,decimal,Unit price in BRL,team-billing,false,N/A
fact_revenue,date,date,Aggregation date,team-analytics,false,daily
fact_revenue,total_revenue,decimal,Daily revenue sum,team-analytics,false,daily
